;parced;link;datenews;headline;altheadline;txtnewsfull;views;comments;rating;rubric;tags
381;2020-02-08 13:57:03;https://ngs24.ru/news/more/66484375/;2020-02-07 15:47:03;На младенца упал баллон с гелием. Девочка боролась за жизнь 5 лет, но умерла в больнице;Благополучная семья держала в доме баллон с гелием для надувания шариков;Девочка в течение пяти лет цеплялась за жизнь Фото: Артем ЛенцКак рассказали в краевом Следственном комитете, трагедия произошла в Боготоле в январе 2015 года.Благополучная семья с тремя детьми держала в доме газовый баллон для надувания шариков, который стоял вертикально и был не закреплен. Баллон упал на годовалую девочку, в тот же день её госпитализировали в местную больницу с тяжелой открытой черепно-мозговой травмой. Тогда врачи смогли помочь ребенку, но она все еще была в тяжелом состоянии, в котором провела 5 лет, борясь за свою жизнь.Накануне девочка скончалась — информация об этом следователям поступила из межрайонной больницы. Сейчас по данному факту проводится следственная проверка. Возбуждено дело по ч.1 ст.109 УК РФ «Причинение смерти по неосторожности».По той же статье недавно судили женщину, которая кормила своего ребенка сухим молоком, из-за чего он умер.;5038;3;ЛАЙК0СМЕХ0УДИВЛЕНИЕ1ГНЕВ0ПЕЧАЛЬ6;Происшествия;#гибель ребенка,
382;2020-02-08 13:57:04;https://ngs24.ru/news/more/66484318/;2020-02-07 15:23:59;«Плати или 12 лет»: по делу экс-депутата Аркадия Волкова возобновили судебное следствие;Волков заявил, что следователи требовали от него взятку;Аркадий Волков заявил, что следователь вымогал у него миллион рублей Фото: Яков КалининНакануне судебная коллегия красноярского краевого суда возобновила судебное следствие, поскольку у суда появилась информация о том, что 27 января 2020 года было отменено постановление об отказе возбуждения уголовного дела по результатам рассмотрения заявления Волкова. В конце мая 2019 года его признали виновным по ст. 290 УК РФ, суд назначил ему наказание в виде лишения свободы сроком на 7 лет.Это заявление Аркадий Волков сделал в декабре прошлого года. Он заявил, что следователь (к тому моменту уже уволившийся) вымогал у него взятку в один миллион рублей, сказав: «Или плати, или 12 лет». По заявлению Волкова, следователь якобы оговорил тот момент, что реальная адвокатская помощь экс-депутату оказываться не будет, но дело будет организовано так, что она и не понадобится.Кроме того, в заявлении обвиняемого была и другая скандальная информация, касающаяся того, кого Волков считает вымогателем. Своё заявление Волков сделал в расчете на передачу его заявления в правоохранительные органы, рассчитывая, что его вымогателя привлекут к уголовной ответственности по статьям о вымогательстве и угрозах с использованием служебных полномочий, а своё публичное заявление в зале суда Волков попросил считать заявлением в правоохранительные органы.Первые обвинения Волкову выдвинули в апреле прошлого года — по версии следствия, энергетическая компания «КрасТЭК» финансировала благотворительный проект депутата «Машина добрых дел». Работники Волкова безвозмездно помогали малоимущим гражданам, а зарплаты для них Волков добивался от энергетической компании обещаниями покровительства и угрозами. Следствие считает, что за оказанные услуги Волков помог компании избежать закрытия котельной. Тогда своей вины Аркадий Волков не признал. В октябре Волкова отпустили из СИЗО под домашний арест.Еще один эпизод был выявлен в минувшем ноябре: Волков пообещал покровительство управляющей компании «Комфорт», попросив взамен предоставить ему двоих сотрудников. Они занимались ремонтом в квартирах малоимущих жителей, а платить им за работу обязалась сама УК. С мая 2016-го по декабрь 2017-го УК «Комфорт» передала им более 370 тысяч рублей. Теперь эти деньги считаются необоснованно начисленными. Сам Волков никакого покровительства управляющей компании так и не оказал.;3401;11;ЛАЙК0СМЕХ0УДИВЛЕНИЕ1ГНЕВ0ПЕЧАЛЬ0;Политика;#Аркадий Волков, #суд,
383;2020-02-08 13:57:04;https://ngs24.ru/news/more/66484264/;2020-02-07 15:09:54;Попытался убить и обокрал: дивногорца приговорили к 15 годам колонии за тяжкое преступление;Приговор в законную силу еще не вступил;Мужчину задержали почти сразу после нападения  Фото: Артём Ленц Как рассказали в ГСУ СК по Красноярскому краю, доказана вина жителя Дивногорска, который совершил тяжкое преступление в отношении своей знакомой: его обвиняли в убийстве, сопряженным с разбоем.Следствием и судом было установлено, что в апреле 2019 года мужчина распивал спиртное в гостях у знакомой девушки. У них случился конфликт, и он ударил ножом по лицу и шее пострадавшей, а потом похитил ее ювелирные изделия и скрылся. Всё похищенное он сдал в ломбард, а девушка пришла в себя и обратилась за помощью к соседям, которые сообщили о случившемся в скорую и полицию.В тот же день мужчину задержали, он признал вину только в части хищения имущества. Дивногорский суд признал его виновным также в покушении на убийство и назначил наказание в виде 15 лет лишения свободы.В позапрошлом году многих поразило жестокое убийство отцом маленького сына — он бил его тупым предметом и кусал. Мальчик умер. Отца приговорили к 11 годам колонии общего режима. ;1404;3;ЛАЙК2СМЕХ0УДИВЛЕНИЕ0ГНЕВ2ПЕЧАЛЬ0;Криминал;#Дивногорск, #покушение на убийство,
384;2020-02-08 13:57:05;https://ngs24.ru/news/more/66484201/;2020-02-07 15:01:26;80-летний пенсионер из Красноярска устраивает марш-броски в бассейне;Он проплывает по 3,5 километра за тренировку;80-летний Владимир Петров регулярно занимается плаванием Фото: Артём Ленц, gazeta.sfu-kras.ruИнтервью с 80-летним Владимиром Петровым опубликовала студенческая газета СФУ «Новая университетская жизнь». Несмотря на солидный возраст, пенсионер ходит в бассейн четыре раза в неделю и проплывает по 3,5 километра за тренировку. В субботу после плавания идёт в баню, в остальные дни — на лыжи или занимается скандинавской ходьбой. А недавно по итогам соревнований Кубка России по плаванию в Саранске красноярец занял первое место на дистанции 200 метров и вторые места на дистанциях 50, 400 и 800 метров.Сам Владимир Михайлович рассказывает, что раньше плавал 5–6 километров за тренировку — 2,5 часа без перерыва каждый день. Сейчас врачи до соревнований мужчину не допускают.— Однажды, увидев мою кардиограмму, отправили в кардиоцентр. Там говорят: «Какие соревнования, какое плавание в таком возрасте? Вам что, жить надоело?». В общем, с некоторых пор я перестал ходить в физкультурный диспансер. Но к своему организму отношусь внимательно, слежу за давлением, принимаю таблетки. Когда мы, спортсмены «в возрасте», приезжаем на соревнования, обязательно пишем расписку, что берём на себя ответственность за своё здоровье, — рассказал Владимир Петров.Плавать Владимир начал уже во взрослом возрасте. Детство его прошло под Самарой, отец воевал, а спустя год после войны умер от порока сердца. В 5-м классе Владимир начал заниматься в школьной лыжной секции, после решил поступать в физкультурный институт в Омске. Для этого нужно было сдавать плавание и Владимир начал тренироваться прямо на Волге. Плавать он научился, но по конкурсу не прошел, а когда призвали в армию, оказался в Железногорске. Позже Владимир окончил Красноярский политехнический институт и создал команду по подводному плаванию в ластах. За годы работы воспитал шесть мастеров спорта и 35 кандидатов в мастера спорта по подводному плаванию. Сейчас спортсмен возглавляет крупный гаражный кооператив, сам водит автомобиль и признается, что отдыхать не любит, а по телевизору смотрит только спортивные программы.;1493;2;ЛАЙК2СМЕХ0УДИВЛЕНИЕ0ГНЕВ0ПЕЧАЛЬ0;Спорт;#плавание, #красноярские спортсмены, #Владимир Петров,
385;2020-02-08 13:57:05;https://ngs24.ru/news/more/66484138/;2020-02-07 14:12:16;Красноярских детей начали закалять от ОРВИ йогой и лечебным чаем;В школах и детских садах практикуют нестандартные способы борьбы с простудой и ОРВИ;Теперь малыши практикуют йогу Фото: admkrsk.ruВ красноярских детсадах и школах стали практиковать нестандартные способы борьбы с простудой и ОРВИ.Как рассказали в управлении образования, в школах после уроков ученики идут в столовую пить чай. В чайной карте ягодные и травяные напитки. В составе малина, ежевика, смородина, шиповник, черника, ромашка, эхинация, мята и мелисса. На шеях у детей висят «съедобные амулеты» — капсулы с чесноком. На обеде содержимое амулета съедается вместе с супом.А в детских садах начали практиковать йогу и обязательное посещение соляной комнаты, которые оборудуют прямо в учреждениях. В соляной комнате благодаря специализированному оборудованию постоянно поддерживается определённая температура, давление и влажность воздуха, а также концентрация различных ионов соли.— Во всех учреждениях действует «фильтр» по выявлению болеющих ребятишек. Учащегося могут отправить домой, либо изолировать от других детей, если, например, у него есть температура, кашель, насморк, общее недомогание. Карантин вводится только в том случае, если в группе, классе или в целом по учреждению болеют более 20% детей, — добавили в управлении.Также читайте фоторепортаж о старейшей школе Красноярска. ;555;5;ЛАЙК1СМЕХ1УДИВЛЕНИЕ0ГНЕВ0ПЕЧАЛЬ0;Образование;#профилактика гриппа и ОРВИ,
386;2020-02-08 13:57:06;https://ngs24.ru/news/more/66484084/;2020-02-07 13:41:04;Главный прокурор края уходит в отставку;Источник NGS24.RU в прокуратуре сообщает об отставке Михаила Савчина;Михаил Савчин возглавлял краевую прокуратуру с 2012 года Фото: krasproc.ruИсточник в прокуратуре Красноярска сообщил об отставке главного прокурора края Михаила Савчина. Официального ответа ведомства на момент написания новости получить пока не удалось.До своего назначения в Красноярский край Михаил Савчин работал прокурором в Чечне до 2012 года.Незадолго до отставки Савчин отстранил от работы прокурора Норильска Хаважа Гутаева, подозреваемого во взяточничестве, тем не менее Гутаев сохранил зарплату и доплаты за выслугу лет на момент отстранения. Ряд СМИ связывает отставку Савчина с Гутаевым, которого тот якобы покровительствовал.Прокуратура края под руководством Михаила Савчина также запомнилась скандалом с основателем проекта «Красноярск.Небо», а также с отстранением от должности главы Счетной палаты Татьяны Давыденко.;5372;12;ЛАЙК9СМЕХ2УДИВЛЕНИЕ0ГНЕВ1ПЕЧАЛЬ1;Работа;#отставка прокурора,
387;2020-02-08 13:57:06;https://ngs24.ru/news/more/66484018/;2020-02-07 13:08:03;Телефонный мошенник под личиной банковского работника выманил 833 тысячи рублей у женщины;Он сообщил, что неизвестные пытаются снять с ее счетов деньги;В Красноярске телефонный мошенник под личиной банковского работника выманил 833 тысячи рублей у женщины Фото: Дарья СеленскаяКак рассказали в городской полиции, в ведомство обратилась 39-летняя женщина, Сотрудники выяснили, что потерпевшей позвонил мужчина, который представился сотрудником службы безопасности одного из банков.Он сообщил, что неизвестные пытаются снять с ее счетов деньги. Чтобы предотвратить факт списания, необходимо перевести сбережения на новые счета, оформленные на ее имя. Красноярка, боясь потерять свои накопления и не проверив данную информацию в официальном отделении банка, перевела мошенникам 833 тысячи рублей. Спустя несколько дней женщина поняла, что ее обманули, и обратилась с заявлением в полицию.По данному факту возбуждено дело о краже, санкции предполагают максимальное наказание в виде 6 лет лишения свободы. Отметим, что в конце января по Красноярскому краю прокатилась волна массовых телефонных звонков от мошенников.;1175;4;ЛАЙК1СМЕХ2УДИВЛЕНИЕ0ГНЕВ2ПЕЧАЛЬ1;Криминал;#телефонные мошенники,
388;2020-02-08 13:57:07;https://ngs24.ru/news/more/66483937/;2020-02-07 12:30:39;В СибГУ им. Решетнева прошли обыски;По данным телеграм-канала «Борус», речь идет о мошенничестве на десятки миллионов;Обыски прошли накануне вечером Фото: Артём ЛенцИнформацию о прошедших накануне обысках NGS24.RU подтвердили в краевой полиции, однако официально ведомство пока ничего не комментирует.По данным телеграм-канала «Борус», оперативники нагрянули в СибГУ им. Решетнева накануне вечером. Из кабинетов выносили документацию. Источники утверждают, что оперативные мероприятия проводились в связи с расследованием уголовного дела о мошенничестве, связанном с научными работами. Ущерб бюджету может составлять десятки миллионов рублей. В пресс-службе вуза заявили, что «комментировать пока нечего». Ранее мы также писали, что студентов университета обслуживала медицинская поликлиника без лицензии.;4776;8;ЛАЙК0СМЕХ2УДИВЛЕНИЕ2ГНЕВ0ПЕЧАЛЬ0;Происшествия;#обыски,
389;2020-02-08 13:57:07;https://ngs24.ru/news/more/66483898/;2020-02-07 12:17:00;Надбавка к алиментам: Путин обязал родителей обеспечивать детей жильем после развода;Ушедшие из семьи взрослые будут доплачивать, чтобы дети не остались без крыши над головой;Родители, живущие отдельно от ребенка при разводе, будут обязаны обеспечить детей жильем  Фото: Артём Устюжанин / E1.RUРазведенные родители, живущие отдельно от детей, будут обязаны обеспечить их жильем. Соответствующие поправки в Семейный кодекс подписал президент Владимир Путин.Расходы на крышу над головой внесут отдельной строкой дополнительно к алиментам, а взыскивать их будут через суд. Он будет оценивать ситуацию с учетом сложившихся обстоятельств и принимать решение, основанное на балансе интересов ребенка и алиментщика. До сих пор нормы Семейного кодекса трактовали так, что привлечь родителя после развода к оплате дополнительных расходов можно было только в случае лечения и реабилитации ребенка. Сейчас список обстоятельств дополнили новым — отсутствием у ребенка пригодного жилья.Новый федеральный закон Госдума приняла 23 января, а 30 января его одобрил Совет Федерации. Теперь его подписал и президент.В октябре 2019 года Минюст решил ужесточить ответственность за неуплату алиментов детям и нетрудоспособным родителям. Согласно предлагаемому законопроекту, должник не сможет уклоняться от уголовной ответственности, если производит выплаты по алиментам в нерегулярном порядке. Самые неудобные вопросы по алиментам мы разбирали в этом материале.;2875;42;ЛАЙК0СМЕХ1УДИВЛЕНИЕ1ГНЕВ4ПЕЧАЛЬ0;Город;#семья, #алименты, #развод, #жилье,
390;2020-02-08 13:57:08;https://ngs24.ru/news/more/66483892/;2020-02-07 12:05:42;На выходных красноярцы смогут наблюдать рекордно большую Луну;Смотреть суперлуние советуют вечером в воскресенье;Сегодня утром Луна тоже была большой Фото: Анастасия СтанишевскаяВ воскресенье, 9 февраля, красноярцы смогут наблюдать редкое астрономическое явление — суперлуние. Спутник приблизится к Земле на расстояние 361 000 км, его размер будет достигать 33 угловых минуты против обычных 30.Как рассказал директор обсерватории СибГУ Сергей Веселков, лучше всего наблюдать большую Луну сразу после ее восхода, то есть после 18:00 в воскресенье. Цвет Луны будет при этом обычным желтым, она не окрасится ни в какие другие тона.Два года назад над Россией взошла большая кровавая Луна, мы публиковали подборку снимков из разных городов.;1287;8;ЛАЙК1СМЕХ0УДИВЛЕНИЕ0ГНЕВ0ПЕЧАЛЬ0;Город;#суперлуние, #луна,
391;2020-02-08 13:57:08;https://ngs24.ru/news/more/66483799/;2020-02-07 11:14:44;В Красноярске в мусоропровод выкинули крольчиху. Ее спасли и ищут ей семью;Девочка была очень напугана, но здорова;Крольчихе ищут новый дом  Фото: Владислав ВласовДушераздирающую историю рассказал журналист и общественник Владислав Власов.Взрослого декоративного кролика оставили в помещении мусоропровода на Курчатова, 15В, он уже был очень напуганным и замерзшим. Животное обнаружили неравнодушные местные жители, а спасла Ирина Ёсина, руководитель питомника сибирских кошек.Кролик оказался девочкой, в ветклинике сказали, что здоровью малышки уже ничего не угрожает. Крольчиха очень ласковая и ей уже подыскивают дом.Крольчиху обнаружили случайно, она могла бы там погибнуть Фото: Владислав ВласовВ середине января волонтеры спасли слепнущего сфинкса — ему сделали операцию и тоже начали искать новый дом. ;2640;22;ЛАЙК4СМЕХ0УДИВЛЕНИЕ0ГНЕВ2ПЕЧАЛЬ0;Милота;#кролик, #зооволонтеры,
392;2020-02-08 13:57:09;https://ngs24.ru/news/more/66483751/;2020-02-07 10:27:41;Красноярка перестала платить за коммуналку и кредит и лишилась автомобиля;Ее машину продадут и погасят долги, если она не погасит их сама;Автомобиль забрали на спецстоянку  Фото: r24.fssprus.ruКак рассказали в управлении федеральной службы судебных приставов, в Советском районе сотрудники ведомства наложили арест на автомобиль должницы, которая уклонилась от исполнения обязательств по оплате коммунальных услуг.Женщина накопила долг 60 тысяч рублей за коммуналку, а еще она перестала платить кредит — и там ее долг превысил 90 тысяч рублей. Пристав-исполнитель не единожды требовал исполнения обязательств, пока не пришлось принудительно изъять у нее автомобиль «Honda Odyssey», в отношении которого действовало постановление о запрете совершения регистрационных действий. Он арестован и с помощью спецтехники перемещен на специализированную стоянку.Если она так и не погасит долг, ее машину продадут, чтобы погасить долг.;2897;17;ЛАЙК1СМЕХ0УДИВЛЕНИЕ0ГНЕВ0ПЕЧАЛЬ3;Город;#приставы, #автомобиль,
393;2020-02-08 13:57:11;https://ngs24.ru/news/more/66483727/;2020-02-07 09:01:38;Едкую дымку сдуло из города. Воздух в городе почти чистый;В Красноярске вновь есть чем дышать;Едкий запах и дымку сдуло из города. Нам опять есть чем дышать Фото: Артём Ленц После двух дней в едком тумане в Красноярск наконец-то вернулся чистый воздух. Сегодня датчики волонтеров Nebo.live показывают, что лишь местами есть небольшое загрязнение, но в целом можно свободно дышать. Фото: Nebo.liveДанные подтверждает карта ученых СО РАН, единственное сильное загрязнение наблюдается в Солонцах. Фото: СО РАН Плохой воздух в Красноярске держался почти всю неделю, но особенно это было заметно в воскресенье и в последние два дня. При этом режим НМУ ни разу не объявляли.;1487;32;ЛАЙК2СМЕХ1УДИВЛЕНИЕ0ГНЕВ0ПЕЧАЛЬ0;Город;#НМУ, #грязный воздух,
394;2020-02-08 13:57:12;https://ngs24.ru/news/more/66483226/;2020-02-07 09:00:00;Бойтесь панков и китов: как учителей учат бороться с суицидами подростков;Минпросвещения выпустило новую методичку для педагогов. Психологи уверены: эти знания устарели;"Эксперты Минпросвещения придумали, как защитить школьников от них самих. Но не все советы одинаково полезны Фото: Александр Ощепков / NGS.RUКаждый раз, когда истории о трудных подростках взрывают новостную повестку, взрослые хватаются за голову и начинают искать виноватых. Нередко крайней становится школа — куда, мол, смотрели учителя, прежде чем подросток совершил попытку самоубийства или напал на своих одноклассников. Как бороться с шутингами, в Министерстве просвещения пока не придумали — официальную методичку для педагогов планируют выпустить только в 2021 году, но мы уже писали, на что обратить внимание прямо сейчас.А вот рекомендации по борьбе с суицидальным и асоциальным поведением подростков для учителей уже подготовили. Вот они.  Методичка для российских педагогов о борьбе с суицидальными настроениями подростков Методичку выпустило специальное научное учреждение, которое разрабатывает материалы для Минпросвещения — по ним желательно работать всем педагогам страны. Во многих городах для педагогов уже прошли семинары о том, как ее применять на практике. В методичке перечислены риски суицида — симптомы, после которых надо насторожиться: резкое снижение успеваемости и изменение поведения, затяжное подавленное настроение, раздражительность, разговоры или намеки о желании умереть. С тем, что к такому набору характеристик стоит относиться с настороженностью, наши эксперты согласны.— Это внешние симптомы, которые может увидеть педагог или ему могут сказать сами дети. Например, что кто-то часто залезает на крышу. Это то, что можно диагностировать не специалисту. Это может быть звоночком, чтобы сказать родителям. Учитель видит ребенка вне дома, часто видит такую его оборотную сторону, которую родители могут не замечать. Педагоги не имеют серьезной подготовки, чтобы заниматься этим вплотную дальше, поэтому, когда видят такие симптомы, они должны сигнализировать, чтобы дальше этим могли заниматься профильные специалисты, — считает детский психолог Полина Зелексон.Она объясняет, что учитель обязан связаться с родителями — по закону даже психолог не имеет права разговаривать с ребенком без согласия законных представителей. А ведь при риске суицида помощь такого специалиста необходима.Кого бояться: панки, гопники, китыНовая методичка пронизана идеей контроля, которая перемещается и на родителей. Педагогов предупреждают: в опасности дети, попавшие под влияние деструктивных молодежных течений. А потом рассказывают о том, какие именно группы считать асоциальными и деструктивными. Это:радикальные группы подростков, отвергающие общепринятые правила и нормы и стремящиеся к тотальному изменению существующих порядков;анархонигилистические (панки, экстремисты);нонконформные (протестные) группы;криминальные группировки (гопники) и традиционные соседские группы подростков (дворовые компании).Психологи говорят, что этот список неактуален.— Это такой привет из 90-х, когда соседские группы были криминализированы. На самом деле в нашей реальности практически нет соседских групп подростков. Это свидетельствует, что взрослые, которые составляли эту методичку, отстают от современной культуры. Дворовых компаний не существует, панки тоже ушли в прошлое, — полагает Полина Зелексон.Кого действительно нужно бояться, так это субкультуры А.У.Е. — она актуальна и очевидно деструктивна, уверены эксперты. Тюремные законы, жесткая уголовная мораль. Психоаналитик Евгений Шорыгин называет еще одно тревожное движение — «поясни за шмот». Субкультуризация в этом случае формируется вокруг брендов, а не вокруг музыки или неких идей. Из-за поддельной вещи подросток может стать не только объектом травли, но и быть избитым. Психологи видят в методичке приветы из 90-х, которые к реальной жизни современных подростков не имеют отношения Фото: Иван Рейзвих / NGS55.RUОтдельно в методичке речь идет об интернете. За школьниками предлагают тщательно следить. Рекомендация не нова: после скандалов с суицидальной игрой в соцсетях родителям и педагогам постоянно советуют изучать детские странички.— Безусловно, сообщество «Синий кит» тоже деструктивно, но оно было создано взрослыми. Эта история нас многому научила, но рекомендация отслеживать поведение ребенка в интернете говорит скорее о беспомощности взрослых. По факту многие дети пользуются интернетом лучше взрослых, поэтому к подростковому возрасту их контролировать становится уже невозможно, — объясняет Зелексон.Психологи считают, что контроль допустим, но не со стороны педагогов, а со стороны родителей. Причем это нельзя делать насильно, заставляя подростка. Нужен высокий уровень доверия с ребенком — чтобы он не боялся показывать свои соцсети, добавлять родителей в друзья.Ребенок не обязан быть позитивнымЧтобы избежать суицидальных настроений у подростков, педагогам рекомендуют насыщать их жизнь яркими событиями и контролировать пользование интернет-ресурсами. Но психологи считают, что активная социальная жизнь и участие в творческих конкурсах подходят далеко не всем.— Это такая идеальная картинка, которую хотят видеть взрослые про идеальную жизнь подростка: очень социально активный, позитивно настроенный, оптимистичный. Дай бог 25% подростков имеют такой настрой. Есть большой слой подростков, для которых важно уединение, у них нет потребности в общении. Но при этом важно, чтобы у них были устойчивые социальные связи. Если у общительного подростка друзей может быть 10–12, то у более закрытого их может быть два или один, — объясняет Полина Зелексон.Далеко не всем подросткам подходит «активно-позитивный» образ жизни Фото: Ольга Бурлакова / NGS.RUАвторы документа создают некую идеальную модель, которой подросток должен соответствовать: участвовать в социальных и творческих проектах, иметь хобби, хорошо учиться и не переживать из-за несчастной любви. Семья и школа при этом становятся надзорными органами, которые постоянно проверяют ребенка на соответствие этой модели. И если не соответствует — записывают в проблемные: с суицидальными рисками или асоциальным поведением.— Внешнее давление может только вызвать еще больший внутренний конфликт и протест. Давление может привести к реактивной сепарации — побеги из дома, в частности. Исследования, которые я проводил в школах, показали, что уход из дома подростков, как правило, связан именно с отношениями в семье, с высокими требованиями, — объясняет психоаналитик Евгений Шорыгин.Уход из дома — это как раз реальный риск того, что в будущем подросток покончит с собой. Он еще не умеет справляться с давлением и эмоциями.— Поводы для суицида могут быть внешне очень разными. Есть много исследований, связанных с анализом неудачных попыток и предсмертных записок. Все они говорят, что поводом были поверхностные истории, но реальной причиной было то, что ребенок чувствовал нарушение социальных связей внутри семьи. Подросток должен чувствовать себя любимым, каким бы он ни был: не сдавшим ЕГЭ, пришедшим пьяным. Его поругают, но его все равно любят. Если этого нет — тут и правда велик риск суицида, — убеждена Зелексон.То есть ответственность за социальные связи не надо перекладывать на школу и товарищей — близкие отношения должны быть в первую очередь в семье.— Очень важно, чтобы была возможность диалога с ребенком, чтобы взрослый мог говорить ему о своих беспокойствах, обсуждать. Зачастую то, что мы видим, — это в первую очередь результат замалчивания родителями проблем и своих эмоций. Родители не могут, не умеют говорить с ребенком и начинается поиск третьего — школы, психолога, соцработника, — утверждает Шорыгин.Сейчас у родителей очень высокая тревожность из-за большого количества информации, поэтому любое отклонение от некой идеальной нормы воспринимается как трагедия, резюмирует психоаналитик. Совет родителям эксперты дают только один: принимать ребенка и с самого раннего возраста устанавливать доверительные отношения, прислушиваясь к детским тревогам и проблемам. О своем беспокойстве тоже имеет смысл рассказывать — это сработает лучше, чем прямой запрет. Подробнее о том, как родителям вести себя с подростками, нам рассказал психиатр. А в этом материале можно прочитать, как обезопасить ребенка в интернете, не испортив с ним отношения.";1224;6;ЛАЙК0СМЕХ3УДИВЛЕНИЕ0ГНЕВ0ПЕЧАЛЬ0;Образование  Обзор;#дети, #школа, #подростки,
